reading_id,station_id,model_name,predicted_label,confidence_score,response_time_ms,timestamp
1,ST-09,demand_forecaster,3556,0.639,79.4,2026-09-08 11:04:48.577
2,ST-02,pressure_drop_predictor,drop,0.738,49.7,2026-09-08 11:04:48.604
3,ST-07,pressure_drop_predictor,stable,0.691,42.7,2026-09-08 11:04:48.630
4,ST-01,demand_forecaster,1508,0.612,66.8,2026-09-08 11:04:48.656
5,ST-05,leak_detector,normal,0.82,41.9,2026-09-08 11:04:48.683
6,ST-07,demand_forecaster,2301,0.59,91.9,2026-09-08 11:04:48.709
7,ST-04,demand_forecaster,877,0.838,79.4,2026-09-08 11:04:48.735
8,ST-03,demand_forecaster,861,0.974,54.6,2026-09-08 11:04:48.762
9,ST-04,demand_forecaster,4057,0.824,59.3,2026-09-08 11:04:48.789
10,ST-03,pressure_drop_predictor,stable,0.701,69.8,2026-09-08 11:04:48.815
11,ST-10,demand_forecaster,683,0.647,97.3,2026-09-08 11:04:48.841
12,ST-02,demand_forecaster,1529,0.699,114.8,2026-09-08 11:04:48.867
13,ST-09,leak_detector,normal,0.878,31.2,2026-09-08 11:04:48.893
14,ST-02,pressure_drop_predictor,stable,0.692,60.9,2026-09-08 11:04:48.919
15,ST-10,pressure_drop_predictor,drop,0.637,60.9,2026-09-08 11:04:48.945
16,ST-01,pressure_drop_predictor,stable,0.74,50.0,2026-09-08 11:04:48.971
17,ST-10,demand_forecaster,1485,0.682,67.1,2026-09-08 11:04:48.998
18,ST-02,leak_detector,normal,0.861,40.7,2026-09-08 11:04:49.024
19,ST-10,pressure_drop_predictor,stable,0.871,56.2,2026-09-08 11:04:49.050
20,ST-09,demand_forecaster,3844,0.654,86.5,2026-09-08 11:04:49.076
21,ST-08,leak_detector,normal,0.76,39.2,2026-09-08 11:04:49.102
22,ST-06,demand_forecaster,3579,0.764,68.1,2026-09-08 11:04:49.128
23,ST-09,pressure_drop_predictor,drop,0.785,49.7,2026-09-08 11:04:49.155
25,ST-06,leak_detector,normal,0.843,38.1,2026-09-08 11:04:49.207
26,ST-05,pressure_drop_predictor,drop,0.86,74.3,2026-09-08 11:04:49.233
27,ST-09,leak_detector,normal,0.923,40.6,2026-09-08 11:04:49.259
28,ST-03,demand_forecaster,4025,0.713,73.9,2026-09-08 11:04:49.286
29,ST-09,pressure_drop_predictor,drop,0.854,55.5,2026-09-08 11:04:49.312
30,ST-07,demand_forecaster,4696,0.631,74.8,2026-09-08 11:04:49.338
31,ST-06,demand_forecaster,1873,0.725,84.5,2026-09-08 11:04:49.364
32,ST-09,demand_forecaster,1061,0.706,111.3,2026-09-08 11:04:49.390
33,ST-04,pressure_drop_predictor,stable,0.734,51.9,2026-09-08 11:04:49.416
34,ST-09,leak_detector,normal,0.89,42.6,2026-09-08 11:04:49.442
35,ST-09,demand_forecaster,2486,0.618,101.1,2026-09-08 11:04:49.469
36,ST-05,leak_detector,normal,0.76,36.1,2026-09-08 11:04:49.495
37,ST-09,leak_detector,normal,0.888,47.5,2026-09-08 11:04:49.522
38,ST-01,pressure_drop_predictor,drop,0.839,49.6,2026-09-08 11:04:49.548
39,ST-08,demand_forecaster,2411,0.759,102.0,2026-09-08 11:04:49.574
40,ST-06,leak_detector,leak,0.885,43.2,2026-09-08 11:04:49.600
41,ST-05,pressure_drop_predictor,drop,0.78,50.0,2026-09-08 11:04:49.626
42,ST-08,leak_detector,normal,0.856,37.5,2026-09-08 11:04:49.652
43,ST-02,pressure_drop_predictor,stable,0.732,58.0,2026-09-08 11:04:49.678
44,ST-09,demand_forecaster,3507,0.744,94.6,2026-09-08 11:04:49.704
45,ST-08,leak_detector,normal,0.868,29.7,2026-09-08 11:04:49.731
46,ST-10,pressure_drop_predictor,drop,0.793,50.8,2026-09-08 11:04:49.757
