reading_id,station_id,model_name,predicted_label,confidence_score,response_time_ms,timestamp,errors
24,ST-06,unknown_model,-1,,-44.9,2026-09-08 11:04:49.181,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
53,ST-08,unknown_model,stable,,,2026-09-08 11:04:49.941,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
123,ST-10,demand_forecaster,-1,1.355,,2026-09-08 11:04:51.777,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
197,ST-04,leak_detector,stable,,-67.5,2026-09-08 11:04:53.715,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
200,ST-10,demand_forecaster,99999,,,2026-09-08 11:04:53.793,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
-523,ST-07,demand_forecaster,drop,1.468,,2026-09-08 11:04:54.636,"reading_id must be positive int; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
237,ST-09,pressure_drop_predictor,leak,,-79.3,2026-09-08 11:04:54.793,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
284,ST-99,unknown_model,stable,-0.104,-77.7,,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
,ST-02,pressure_drop_predictor,stable,-0.887,,2026-09-08 11:05:00.897,"reading_id must be positive int; confidence_score must be in [0,1]; response_time_ms must be positive"
494,ST-05,leak_detector,drop,-0.89,-25.9,2026-09-08 11:05:01.605,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
532,unknown,leak_detector,,,,2026-09-08 11:05:02.609,"invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
545,ST-09,leak_detector,,-0.2,-43.3,,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
553,ST-10,demand_forecaster,drop,-0.823,,2026-09-08 11:05:03.158,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
580,ST-99,leak_detector,leak,1.659,-50.3,,"invalid station_id; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
671,ST-03,leak_detector,,,,2026-09-08 11:05:06.273,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
754,ST-09,demand_forecaster,drop,-0.052,-4.2,2026-09-08 11:05:08.481,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
780,ST-03,unknown_model,normal,1.596,,2026-09-08 11:05:09.162,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
